Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD
Date,,,,,,,,,,,,,,,,,,
2018-04-14,,,7986.240234375,,,7986.240234375,,,8140.7099609375,,,7846.0,,,7874.669921875,,,5191430144
2018-04-15,,,8329.1103515625,,,8329.1103515625,,,8338.419921875,,,7999.330078125,,,7999.330078125,,,5244480000
2018-04-16,4278.17822265625,3126.761474609375,8058.669921875,4580.0,3550.0,8058.669921875,4580.0,3550.0,8371.150390625,4580.0,3550.0,7925.72998046875,4580.0,3550.0,8337.5703125,0.0,0.0,5631309824
2018-04-17,4278.17822265625,3126.761474609375,7902.08984375,4580.0,3550.0,7902.08984375,4580.0,3550.0,8285.9599609375,4580.0,3550.0,7881.72021484375,4580.0,3550.0,8071.66015625,0.0,0.0,6900879872
2018-04-18,4292.189453125,3223.64697265625,8163.419921875,4595.0,3660.0,8163.419921875,4595.0,3660.0,8197.7998046875,4545.0,3620.0,7886.009765625,4565.0,3640.0,7944.43017578125,43716000.0,67903000.0,6529909760
2018-04-19,4292.189453125,3223.64697265625,8294.3095703125,4595.0,3660.0,8294.3095703125,4595.0,3660.0,8298.6904296875,4595.0,3660.0,8138.77978515625,4595.0,3660.0,8159.27001953125,0.0,0.0,7063209984
2018-04-20,4292.189453125,3223.64697265625,8845.830078125,4595.0,3660.0,8845.830078125,4595.0,3660.0,8880.23046875,4595.0,3660.0,8244.5400390625,4595.0,3660.0,8286.8798828125,0.0,0.0,8438110208
2018-04-21,,,8895.580078125,,,8895.580078125,,,8997.5703125,,,8652.150390625,,,8848.7900390625,,,7548550144
2018-04-22,,,8802.4599609375,,,8802.4599609375,,,9001.6396484375,,,8779.6103515625,,,8925.0595703125,,,6629899776
2018-04-23,4296.8603515625,3153.184326171875,8930.8798828125,4600.0,3580.0,8930.8798828125,4640.0,3640.0,8958.5498046875,4585.0,3580.0,8788.8095703125,4640.0,3630.0,8794.3896484375,46236000.0,87721200.0,6925190144
